0,670,670
1,672,1342
2,672,2014
3,672,2686
4,671,3357
5,672,4029
6,672,4701
7,672,5373
8,672,6045
9,672,6717
10,672,7389
11,672,8061
12,672,8733
13,672,9405
14,672,10077
15,672,10749
16,672,11421
17,672,12093
18,672,12765
19,672,13437
20,672,14109
21,672,14781
22,672,15453
23,672,16125
24,672,16797
25,672,17469
26,672,18141
27,672,18813
28,672,19485
29,672,20157
30,672,20829
31,672,21501
32,672,22173
33,672,22845
34,672,23517
35,672,24189
36,672,24861
37,672,25533
38,672,26205
39,672,26877
40,672,27549
,27549,
